
Full Report
epoch=1900
numDocs=2537
numTokens=30208
numWords=2935
numTopics=15

TOPIC 0  (total count=1529)
SYMBOL             WORD    COUNT   PROB          Z
--------------------------------------------------
   225           enough       43   0.028       5.3
  2545            cried       39   0.025       4.3
  1586             help       32   0.021       4.3
   618               ll       31   0.020       5.0
  1441              don       30   0.019       5.2
   489              god       29   0.019       5.1
   595             does       27   0.017       4.0
   976           doctor       25   0.016       3.7
   640             lost       22   0.014       3.9
   899             many       20   0.013       2.8
  1556           advice       19   0.012       4.1
  2389              nor       18   0.012       4.0
  1751            geese       17   0.011       3.9
  2677             wife       17   0.011       1.8
   404             mean       16   0.010       3.4
   897            again       16   0.010       1.5
  1476             dark       16   0.010       2.2
   367             want       15   0.010       2.6
   665             give       15   0.010       1.5
  1330         together       15   0.010       2.2
  1701             hear       15   0.010       2.4
  1919          neither       15   0.010       3.5
  2779             poor       15   0.010       2.9
  2399             mind       14   0.009       1.5
  2614             band       14   0.009       3.6
   673               ve       13   0.008       3.3
   929            comes       13   0.008       3.2
   957         horrible       13   0.008       3.4
   155         yourself       12   0.008       1.5
  1415        sometimes       12   0.008       3.3

TOPIC 1  (total count=2244)
SYMBOL             WORD    COUNT   PROB          Z
--------------------------------------------------
  2233            money       44   0.019       6.1
  2509           pounds       42   0.018       6.0
  1683            years       41   0.018       4.5
  1913             name       41   0.018       4.6
   506              got       29   0.013       3.4
   610             done       28   0.012       2.8
  2094              ago       28   0.012       4.9
   499             week       27   0.012       4.8
  1887             else       26   0.011       4.2
   148             soon       25   0.011       3.5
   781           having       24   0.011       2.3
  2851           hosmer       23   0.010       4.4
  1101            angel       21   0.009       4.2
   652             knew       20   0.009       2.1
  2661           family       20   0.009       3.2
   461            since       19   0.008       2.6
  1627       understand       19   0.008       2.2
  1786           mother       19   0.008       3.6
  2023         anything       19   0.008       2.1
    59           anyone       18   0.008       3.3
  1679         happened       18   0.008       3.4
  1997             gold       18   0.008       3.9
  2416            known       18   0.008       2.9
  2821              met       18   0.008       2.4
   720           course       17   0.007       1.6
   998          england       17   0.007       3.5
  1381            doing       17   0.007       3.4
  1915              pay       17   0.007       3.8
   991             near       16   0.007       2.5
  1059             able       16   0.007       2.5

TOPIC 2  (total count=1808)
SYMBOL             WORD    COUNT   PROB          Z
--------------------------------------------------
  1036            clock       38   0.021       5.8
    27                o       35   0.019       5.6
  1005             five       30   0.016       4.4
  1368          evening       28   0.015       4.2
  1078           london       26   0.014       3.7
  2209             four       26   0.014       3.9
   668          brought       24   0.013       3.0
   715         rucastle       24   0.013       3.5
  2690          waiting       23   0.013       3.6
    30                k       21   0.011       4.3
   474             past       19   0.010       3.2
  1158           letter       19   0.010       3.1
  1352          started       18   0.010       3.4
  1722              six       18   0.010       3.0
  1198             hour       17   0.009       2.5
  1875            baker       17   0.009       2.2
  2677             wife       17   0.009       1.7
    34             days       16   0.009       2.1
   228              key       16   0.009       3.8
   881            child       16   0.009       3.2
  2167             less       16   0.009       2.2
  2806            least       16   0.009       2.3
  1438           toller       15   0.008       3.6
  1993          colonel       15   0.008       2.5
   148             soon       14   0.008       1.9
   247             nine       14   0.008       3.5
  1517              ten       14   0.008       2.2
  1671            seven       14   0.008       2.1
  1904         envelope       14   0.008       3.5
  2203             half       14   0.008       1.3

TOPIC 3  (total count=1491)
SYMBOL             WORD    COUNT   PROB          Z
--------------------------------------------------
    85             pray       38   0.025       5.5
  2485        certainly       37   0.024       5.2
  1555              red       29   0.019       3.8
   155         yourself       25   0.016       3.5
  1537         answered       25   0.016       3.0
   205        something       24   0.016       2.6
  1385           headed       23   0.015       4.6
  1261           wilson       22   0.014       4.5
  2031              put       22   0.014       2.2
   230           better       21   0.014       2.6
   844          majesty       18   0.012       4.0
  1237            thank       18   0.012       3.3
   813           indeed       17   0.011       1.8
  1019             ring       17   0.011       3.9
   275           league       16   0.011       3.8
   274            doubt       15   0.010       1.5
  1059             able       15   0.010       2.4
  1078           london       15   0.010       2.0
  1443        assistant       15   0.010       3.7
  1575           cellar       15   0.010       3.7
  1650            trust       15   0.010       3.6
  1866             wish       15   0.010       1.9
   976           doctor       14   0.009       1.9
   318             fear       13   0.009       2.2
   431      interesting       13   0.009       2.6
   587             dear       13   0.009       1.4
   739            speak       13   0.009       2.7
  2317           square       13   0.009       2.4
  2822              men       13   0.009       1.7
   163          matters       12   0.008       2.5

TOPIC 4  (total count=2500)
SYMBOL             WORD    COUNT   PROB          Z
--------------------------------------------------
  1703             head       41   0.016       4.3
  1689            words       35   0.014       4.6
  1433           seemed       34   0.013       3.4
  1623           looked       34   0.013       4.2
  1774          looking       32   0.013       3.7
  1070          forward       31   0.012       5.1
  2184           rushed       31   0.012       4.9
   523         suddenly       30   0.012       3.8
  2405            chair       30   0.012       3.2
  1160            threw       29   0.011       4.9
   421            spoke       27   0.011       4.8
  1833        companion       26   0.010       4.0
   320             both       25   0.010       3.1
  2477           moment       25   0.010       3.7
   205        something       24   0.009       2.3
   830              eye       24   0.009       4.5
   231          against       23   0.009       2.6
  1579              ran       23   0.009       3.7
  1746              set       23   0.009       3.0
  1968            whole       21   0.008       2.6
  2383          towards       20   0.008       4.1
   478             step       19   0.008       3.5
  2070          instant       19   0.008       3.0
   246             fell       18   0.007       3.9
   379           turned       18   0.007       1.9
  1407           across       18   0.007       2.5
  1975            quick       18   0.007       3.2
  2272              new       18   0.007       2.8
  2305             rose       18   0.007       3.1
  1034           closed       17   0.007       3.2

TOPIC 5  (total count=1943)
SYMBOL             WORD    COUNT   PROB          Z
--------------------------------------------------
  1702           police       52   0.026       6.8
   986              get       30   0.015       3.3
  1342        inspector       28   0.014       4.9
  1821            clair       27   0.014       4.9
  1235             home       25   0.013       3.2
   506              got       24   0.012       2.8
   781           having       24   0.012       2.4
   274            doubt       23   0.012       2.4
  2706           either       23   0.012       3.6
  1565          country       22   0.011       3.3
  1611          clothes       21   0.011       4.2
   657            place       20   0.010       2.3
   764           chance       20   0.010       3.7
  2669          neville       19   0.010       4.1
   793              far       18   0.009       2.0
  1165             ever       17   0.009       1.5
  1564          station       17   0.009       2.9
  2847            being       17   0.009       2.1
   753             yard       16   0.008       3.7
  1707             town       16   0.008       3.0
  2373          several       16   0.008       2.6
   991             near       15   0.008       2.3
  1954            force       15   0.008       3.6
  2704         lestrade       15   0.008       2.0
   139          walking       14   0.007       3.5
  1511              den       14   0.007       3.5
  1698       afterwards       14   0.007       3.0
   266           within       13   0.007       1.4
   562            miles       13   0.007       2.9
   701          appears       13   0.007       2.9

TOPIC 6  (total count=2733)
SYMBOL             WORD    COUNT   PROB          Z
--------------------------------------------------
   721             open       57   0.021       6.4
  1963              bed       36   0.013       5.2
   288           passed       32   0.012       4.4
  1450            floor       29   0.011       4.9
  2721            sound       29   0.011       4.7
   745           though       28   0.010       2.8
   909              end       28   0.010       3.0
  1491             lamp       28   0.010       4.8
  2447             same       27   0.010       2.9
  2635              lay       27   0.010       3.6
  1448          windows       25   0.009       4.5
  2756              led       25   0.009       4.5
   251            steps       24   0.009       4.3
   678            front       23   0.008       2.6
  1186           opened       23   0.008       3.3
  2454          passage       23   0.008       4.4
  2821              met       22   0.008       2.9
   738           walked       21   0.008       3.5
   266           within       20   0.007       2.3
   292           showed       20   0.007       4.1
  2087            stood       20   0.007       2.8
  1834            above       19   0.007       3.2
  2535             went       19   0.007       1.6
   340             feet       18   0.007       2.9
  1379          bedroom       18   0.007       3.9
  2544           locked       18   0.007       3.9
    56           wooden       17   0.006       3.8
    93            while       17   0.006       1.4
   175             drew       17   0.006       3.8
   523         suddenly       17   0.006       1.9

TOPIC 7  (total count=1946)
SYMBOL             WORD    COUNT   PROB          Z
--------------------------------------------------
  1524          perhaps       39   0.020       4.4
  2691           always       34   0.017       4.0
   665             give       32   0.016       3.6
  1282              use       31   0.016       5.0
   719          whether       28   0.014       3.9
  2406           really       28   0.014       3.4
  2023         anything       27   0.014       3.3
   230           better       25   0.013       3.0
   848           things       25   0.013       4.5
   176             sure       22   0.011       2.9
   297             turn       21   0.011       3.5
  1775           hunter       21   0.011       4.2
  1996             best       21   0.011       3.4
   983          opinion       20   0.010       4.2
   587             dear       19   0.010       2.1
   986              get       19   0.010       1.9
  2653            clear       19   0.010       2.4
   182             call       18   0.009       2.3
   720           course       18   0.009       1.9
   886            yours       18   0.009       4.0
   570        excellent       17   0.009       3.6
   949             need       17   0.009       3.4
   150       everything       16   0.008       3.3
   518           people       16   0.008       2.9
   604               ah       16   0.008       2.5
  1219            great       16   0.008       1.6
  1776           kindly       16   0.008       3.7
  2229              ask       16   0.008       2.3
  2677             wife       16   0.008       1.6
   940              won       15   0.008       3.3

TOPIC 8  (total count=1961)
SYMBOL             WORD    COUNT   PROB          Z
--------------------------------------------------
   897            again       43   0.022       4.6
  2535             went       37   0.019       4.0
  1165             ever       33   0.017       3.4
  1465           cannot       27   0.014       3.3
  2545            cried       27   0.014       2.7
   187          another       26   0.013       3.6
  1541             told       26   0.013       3.2
   652             knew       25   0.013       2.8
  2431       photograph       25   0.013       4.7
   587             dear       24   0.012       2.7
  2008             gone       23   0.012       3.0
   931             mary       22   0.011       4.4
  2472            heart       22   0.011       4.1
  2798            leave       22   0.011       2.7
   176             sure       21   0.011       2.8
   182             call       21   0.011       2.8
   937          coronet       21   0.011       3.7
     8           arthur       20   0.010       4.2
   222         returned       19   0.010       2.8
  1591          suppose       19   0.010       4.1
  2907             king       19   0.010       3.4
   461            since       18   0.009       2.5
   668          brought       18   0.009       2.1
   610             done       17   0.009       1.5
   935            irene       17   0.009       3.9
  1908             sign       16   0.008       3.4
  2505            adler       16   0.008       3.7
   274            doubt       15   0.008       1.4
   339             feel       15   0.008       3.4
   813           indeed       15   0.008       1.4

TOPIC 9  (total count=1508)
SYMBOL             WORD    COUNT   PROB          Z
--------------------------------------------------
   183            paper       45   0.029       6.4
  2311             note       37   0.024       5.8
  1790             read       36   0.023       5.7
   561           papers       28   0.018       3.8
   376            goose       27   0.018       4.9
   435              hat       21   0.014       2.6
   563               ha       20   0.013       4.0
   858          written       20   0.013       4.3
  2098            stone       20   0.013       3.3
  1200             bird       18   0.012       3.4
  2438          letters       18   0.012       3.2
  2459            thing       17   0.011       2.1
  2542            table       17   0.011       2.0
  1558            fancy       15   0.010       3.7
  2447             same       15   0.010       1.6
  1802            wrote       14   0.009       3.6
  2031              put       14   0.009       1.3
  2618        gentleman       14   0.009       1.8
  1742           german       13   0.008       3.2
